"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/06/2007",2.2815
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/09/2007",2.2785
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/10/2007",2.2752
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/11/2007",2.2711
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/12/2007",2.2711
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/13/2007",2.2696
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/16/2007",2.2708
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/17/2007",2.2696
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/18/2007",2.2681
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/19/2007",2.2674
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/20/2007",2.2676
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/23/2007",2.2639
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/24/2007",2.2595
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/25/2007",2.2627
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/27/2007",2.2559
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","04/30/2007",2.2524
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/03/2007",2.2459
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/04/2007",2.2449
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/07/2007",2.2577
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/08/2007",2.2544
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","05/09/2007",2.2474
